EAN;PRODUTO;DESCRITIVO
7896005202074;135061;FAR TRIGO  1kg D.BENTA
7896005232705;135085;FAR TRIGO  1kg D.BENTA C/FERM
7896006711155;135160;ARROZ  5kg  CAMIL  tipo 1
7893000382961;129657;MARG  QUALY 250G TRAD S/SAL
7893333224006;130066;FERM ROYAL PO 100G
7896052600243;133852;REFRIG SCHIN 2L SABOR ESP MACA
7896089011982;127356;CAFE  PILAO 250G
7896089012606;127363;CAFE  PILAO 500G
7891962000251;127523;TORRADA BAUDUCCO  SALGADA
7891962000268;127530;TORRADA BAUDUCCO INTEGRAL
7896553800036;128087;CAFE  FARAO 500G
7622300288396;130332;BISC TRAKINAS  TRAD 154G CHOC
7894000010014;130677;AMIDO MILHO MAIZENA   200G
7894000050027;130745;MAIONESE 250G HELLMANNS TRADIC
7894000050034;130752;MAIONESE 500G HELLMANNS TRADICI
7896019603430;137515;CHOC LACTA BIS 20UN  PRETO TRAD
7892840812416;137973;H2OH PET 1.5 L LIMAO
7892840812423;138024;H2OH PET 500ml LIMAO
7896205788057;131735;MAC ADRIA 500G ESPAG FURADO 5
7896205788040;131742;MAC ADRIA 500G ESPAGUETE 8
7896205788033;131759;MAC ADRIA 500G ESPAGUETE 9
7896205788064;131766;MAC ADRIA 500G FIDELINHO 10 OVO
7896250788088;131803;MAC ADRIA 500G CARACOL
7896205788156;131810;MAC ADRIA 500G PARAFUSO OVOS
7896205788132;131827;MAC ADRIA 500G ESPIRAL OVOS
7894321711263;132022;TODDY  PO TRAD  400G
7894321811758;132077;SARD COQUEIRO 125G OLEO
7896098902745;132138;DET PO TIXAN SACHET 1000G MACIEZ
7894900068399;132862;REFRIG SPRITE PET 2L
7894900781519;144520;REFRIG SIMBA PET 2L LARANJA
7896034610017;139427;LEITE LV  PARMALAT INTEGRAL 1L
7896584300031;142670;ARROZ  5kg  SABOROSO T1
7891132000975;138413;MID  LARANJA/ABACAXI
7891132000951;138420;MID  LARANJA/ACEROLA
7896090403158;146012;ST FRANCIS SUAVE 90G EXTR FLORE
