EAN;PRODUTO;DESCRITIVO
;50;AVE  CONG FRANGO CAIPIRA SEARA
7791293006390;51452;DES AXE AERO COMPACT 58G 2012
7896283511059;51459;ACHOC PO PALATE REFIL 200GR
7896052602407;51434;CERV LATAO NOVA SCHIN 473ML
7892840812737;51541;H2OH PET 500ML CITRUS
7891037009578;51518;Z SH SEDA 350ML PUREZA REFRESCANTE
7891000086438;52241;BISC PASSAT 140G RECH CHOC/MORANGO
7891000086599;52242;BISC PASSAT 140G RECH CHOC/CASQ
7891132002887;51801;MID SHAKE GRAVIOLA 30G
7891132002825;51800;MID SHAKE MORANGO 30G
7891132002900;51802;MID SHAKE LARANJA/BANANA 30G
7791293008066;182003;DES AXE AERO COMPACT 90ML  MARINE
7896205788217;674133;MAC ADRIA 500G PENA OVOS
;3445;CONF PAO CARA kg
7896205772773;314367;MAC INST ADRIA 85G LEGUMES
;2097;BOV  MIUDO MOCOTO
7896019606226;137522;BOMBOM CX LACTA 400G GD SUCESSOS
7896205788255;131780;MAC ADRIA 500G AVE MARIA OVOS C
7891099612013;184106;REFR FRESH ABACAXI
7897562309626;233071;STEAK FRANGO REZENDE EMP 100G
7896066333953;224482;PAO WICK BOLD   FORMA ENERGIA
7897951614201;260558;MILK MIX  1L  FRUTAS VERMELHAS
7891150015852;53084;ADES 1L MELAO
7896098900222;146289;DET LIQ  YPE  500ml LIMAO
7896098902400;142298;AMAC 2L YPE AZUL ACONCHEGO
7891021006125;225250;CAFE  MELITTA 500G  TRAD
7891079012369;254014;MAC INST NIS LAM 85G CREM 4 QUEIJOS
;10290;ALHO GRANEL CRUZERO kg
;406;ABOBORA CABOTIA  kg
;956;AVE  RESFR COXA C/SOBRE COXA FRANGO
;1458;BANANA  NANICA    kg
;1779;MANDIOQUINHA PREMIUM
;1915;VERD ESCAROLA
;2011;VERD REPOLHO BRANCO kg
;2080;BOV 1 LAGARTO
7898422745578;150439;SH SEDA 350ML QUEDA CONTROL
7894900721515;156233;REFRIG SIMBA PET 2L LIMAO
7896045502202;385220;CERV LATA BAVARIA
7896569405010;547987;LEITE LV  LIDER SEMI DESNATADO
7891515922344;324472;MARG  DORIANA 250G C/SAL
7891099691155;175982;REFR TANG PRO MARACUJA 30G
;27625;SUINO BACON JANDELLE GRANEL
7891000064290;103817;MUCILON LATA 400GR MILHO
7891132019724;194969;SAZON 60G MARROM
7891037006270;210065;Z SH SEDA 350ml  CONTROL ANTIC
78900769;100052;ADOC LIQ DOCE MENOR 100ML
7891203010056;162920;PAO PANCO FORMA 500G TRAD
7896052600090;195294;REFRIG SCHIN 2L  LARANJA
7892020200200;187954;FAR TRIGO  1kg ROSA BRANCA
7892840802714;196314;REFRIG PEPSI 2L TWIST
7894900711516;223300;REFRIG SIMBA PET 2L GUARANA
7891000066560;116473;LEITE LV  NINHO INTEGRAL 1L
7891038353106;112512;ST LUX SUAVE 90G PRIMEIRO BEIJO
7891038001205;111775;DET PO OMO M ACAO CX   500G TRAD
7892840800000;123341;REFRIG PEPSI 2L TRAD
7896098906101;164092;SABAO P YPE 5/200G TRAD
7898422750305;268530;Z SH SEDA 350ml BRILHO GLOSS
7896584300192;114394;ARROZ  5kg  CHAMINE T1
7891079000212;114516;MAC INST NIS LAM 85G GALINHA
7896098901717;114653;DET PO TIXAN SACHET 1000G PRIMAVER
7896080856209;122771;MAC INST LIANE 85G GALINHA
7896036094976;126953;MOLHO TOMATE TARANTELLA LT 340G TRAD
7896283514142;121774;ACHOC PO PALATE REFIL 400GR
7891132002986;53514;MID  FRAMBOESA
7896085075063;206754;BISC ADRIA TORTINHAS 160G FEST BRIG
7891150002418;334495;CR SEDA P/PENTEAR 300G SOS REC ESTR
